as,zs,dps
bu Makoko Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Makongo Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Makpoyo Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Malikuta Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Malingwia Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Mangindanginda Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Mangoli Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Mangoro Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Manziada Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
bu Maselebende Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Mawagarre Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Mawa Ngeito Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Mazulu Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
bu Mbabi Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Mbana Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
bu Mbenge Aire de Santé,bu Titule Zone de Santé,bu Bas Uele Province
bu Mbibili Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Mbiri Aire de Santé,bu Poko Zone de Santé,bu Bas Uele Province
bu Mboti Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Melume Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Mengi Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Mobenge Aire de Santé,bu Buta Zone de Santé,bu Bas Uele Province
bu Mobenge Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Molambi Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Mombwasa Aire de Santé,bu Aketi Zone de Santé,bu Bas Uele Province
bu Monga 1 Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Monga 2 Aire de Santé,bu Monga Zone de Santé,bu Bas Uele Province
bu Mongbaya Aire de Santé,bu Ganga Zone de Santé,bu Bas Uele Province
bu Mopendu Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Mugalie Aire de Santé,bu Ango Zone de Santé,bu Bas Uele Province
bu Muma Aire de Santé,bu Likati Zone de Santé,bu Bas Uele Province
bu Mumbu Aire de Santé,bu Bili Zone de Santé,bu Bas Uele Province
bu Nagbongbo Aire de Santé,bu Viadana Zone de Santé,bu Bas Uele Province
