Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3036;;;-4,428277;17,962034;Crops;Surv Apr-Jun 2016;5/3/16;1;0
3037;;;-4,428897;17,961723;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3038;;;-4,42919;17,961759;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3039;;;-4,43051;17,953466;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3041;;;-4,430663;17,953474;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3042;;;-4,430896;17,95359;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3043;;;-4,431359;17,953774;Pasture;Surv Apr-Jun 2016;5/3/16;1;0
3044;;;-4,431614;17,953903;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3045;;;-4,432187;17,954162;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3046;;;-4,432382;17,954286;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3047;;;-4,43277;17,954962;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3048;;;-4,432911;17,955155;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3049;;;-4,300689;17,960558;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3050;;;-4,300592;17,960569;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3051;;;-4,30041;17,960805;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3052;;;-4,300247;17,960799;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3053;;;-4,300921;17,960144;Pond;Surv Apr-Jun 2016;5/3/16;1;0
3054;;;-4,301122;17,959776;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3055;;;-4,301176;17,959571;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3056;;;-4,301331;17,959085;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3057;;;-4,30152;17,958996;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3058;;;-4,299026;17,960051;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3059;;;-4,298893;17,960039;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3060;;;-4,299492;17,959913;Riverine veg;Surv Apr-Jun 2016;5/3/16;1;0
3061;;;-4,300017;17,959699;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3062;;;-4,300194;17,959676;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3063;;;-4,300614;17,959282;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3064;;;-4,300806;17,959152;Rivering extend veg;Surv Apr-Jun 2016;5/3/16;1;0
3065;;;-4,219315;17,944631;Swamp;Surv Apr-Jun 2016;5/6/16;1;0
3066;;;-4,219546;17,944972;Riverine veg;Surv Apr-Jun 2016;5/6/16;1;0
3067;;;-4,219543;17,945549;Riverine veg;Surv Apr-Jun 2016;5/6/16;1;0
3068;;;-4,219745;17,945957;Grass;Surv Apr-Jun 2016;5/6/16;1;0
3069;;;-4,219882;17,946353;Grass;Surv Apr-Jun 2016;5/6/16;1;0
3070;;;-4,220242;17,947217;Rivering extend veg;Surv Apr-Jun 2016;5/6/16;1;0
3071;;;-4,220396;17,948072;Forest;Surv Apr-Jun 2016;5/6/16;1;0
