ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 2;BASANKUSU 1;BASANKUSU;CPI;BOKAKATA;ENGUMBA ECOLE MATERNELLE;TSF;1.225250931456685;19.79823307134211;306.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;KUTU;BADIA ;KUTU;STE FLORA ECOLE MATERNELLE;KEBELE;-1.9360218616202474;18.276060177013278;293.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;KUTU;MABIE;KUTU;MASSAMBA ECOLE MATERNELLE;NTSHUNI;-2.934795026667416;17.362685529515147;288.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;KUTU;BADIA;KUTU;MFIMI ECOLE MATERNELLE;INUNU;-2.742920690216124;17.594457222148776;293.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;NKONKINA;MONGA NKOLO;KENZUMA ECOLE MATERNELLE;NKONKINA;-2.7238298999145627;17.684472743421793;296.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;VILLAGE MOKOLOMBU;NIOKI;EM MAMAN REBECCA 1 ECOLE MATERNELLE;VILLAGE MOKOLOMBU ;-2.6245701452717185;17.721683448180556;277.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;MALIKU,;NIOKI;EMA CS CAMP VANYA COMPLEXE SCOLAIRE;AV. CPK 6;-2.7077168226242065;17.694697324186563;292.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;MALIKU,;NIOKI;EMA CS CAMP VANYA COMPLEXE SCOLAIRE;AV. CPK 6;-2.7077168226242065;17.694697324186563;292.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;NKONKINA ;MONGA NKOLO;REV MAWONDO ECOLE MATERNELLE;BOSANGO ;-2.720390218310058;17.68226553685963;311.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;KEMPEKA ;NIOKI;MAMAN  REBECCA 2 ECOLE MATERNELLE;AV KATAKO 1B;-2.704776073805988;17.702049342915416;286.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;KIMPEKA ;NIOKI;ECOLE MATERNELLE AMEDE ECOLE MATERNELLE;AV LEBUGIE 100;-2.7086684200912714;17.695824103429914;293.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;KIMPEKA ;NIOKI;ECOLES  MATERNELLES  DIVINE 2 ECOLE MATERNELLE;LEBIGIE 100;-2.707736394368112;17.695459239184856;291.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO;NTAND''EMBELO;GAZELLES ECOLE MATERNELLE;NTA NDEMBELO;-2.1836949046701193;17.167988335713744;357.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;VILLE;MWEKA;EP MWEKA 1 ECOLE PRIMAIRE;LUKAKA AV: 4;-4.850450581870973;21.559402523562312;570.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO;NTAND''EMBELO;NTOMBA ECOLE MATERNELLE;NTANDEMBELO;-2.1916361711919308;17.164384704083204;344.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO;NTAND''EMBELO;LONIO ECOLE MATERNELLE;NTA ND,EMBELO;-2.1836786437779665;17.176917996257544;347.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;NSELE ECOLE MATERNELLE;MPOLE ;-2.0782186277210712;17.11670215241611;348.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;LUKAKA;MWEKA;E M MBANA NSAKAYI ECOLE MATERNELLE;CITÃ‰/LUKAKA;-4.852598067373037;21.558663994073868;574.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;MPANDAMU ECOLE MATERNELLE;MIKANGA ;-2.1031256625428796;17.008579038083553;344.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NTAND''EMBELO;MATERNELLE PROSPERITE  ECOLE MATERNELLE;NTANDEMBELO ;-2.178022703155875;17.166521167382598;374.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;MUSHI 2;MUSHIE;BABOMA;MUSHIE;BONGHAN ECOLE MATERNELLE;BOSIKI;-2.7568999864161015;17.03449663706124;346.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;MUSHI 2;MUSHIE;BABOMA;MUSHIE;BOPAKA BO WENGE ECOLE MATERNELLE;MAMBU;-2.6483884546905756;17.12836129590869;343.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;MUSHI 2;MUSHIE;BABOMA;MUSHIE;ELIMA/IZELI ECOLE MATERNELLE;IZELI;-2.845668951049447;17.130963541567326;339.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;MBANDAKA 3;MBANDAKA VILLE;BONGONDJO/300MAISONS;WANGATA;MUFUKA ECOLE MATERNELLE;BANDIMBA NÂ°8;0.019077504985034466;18.22480358183384;290.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;MBANDAKA 3;MBANDAKA VILLE;BOLENGE;WANGATA;SONA ECOLE MATERNELLE;BOLENGE;0.006277626380324364;18.221550649031997;310.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;MBANDAKA 3;MBANDAKA VILLE;BONGONDE DRAPEAU;WANGATA;ARCHANGE ECOLE MATERNELLE;BONGONDE DRAPEAU;-0.14132270123809576;18.218922084197402;301.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQUATEUR;MBANDAKA;EQUATEUR 1;MBANDAKA 3;MBANDAKA VILLE;BONSOLE ;WANGATA;MPOBA ECOLE MATERNELLE;BONSOLE ;-0.13296120800077915;18.278501238673925;296.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;BANSUEBA ;MWEKA;BISHEL  ECOLE MATERNELLE;BULAPE MARCHE ;-4.634731239639223;21.549616483971477;600.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;BAMBALAYI ;MWEKA;EM NYAKULA  ECOLE MATERNELLE;PATAMBAMBA ;-4.673265740275383;21.58026491291821;577.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;BANSUEBA ;MWEKA;EM SAGESSE BAMUDIMA ECOLE MATERNELLE;BULAPE ;-4.630635799840093;21.54019782319665;594.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;BANSUEBA ;MWEKA;EM BUBILA ECOLE MATERNELLE;BULAPE ;-4.637058097869158;21.554675046354532;625.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;ESPERANCE  ECOLE MATERNELLE;BOKOLI;-2.120011802762747;16.990570770576596;351.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;JUSTICE  ECOLE MATERNELLE;KELAKO;-2.0784249482676387;16.930958423763514;305.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;NDENGO ECOLE MATERNELLE;MEPA;-2.0813264697790146;16.954014357179403;340.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;CONGO 2;MWEKA;KWELA ECOLE MATERNELLE;00, POLYDOR;-4.859168892726302;21.565141612663865;541.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;VILLE;MWEKA;B KUMONA ECOLE MATERNELLE;27 MARCHÃ‰;-4.845749004743993;21.557604940608144;568.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO;NTAND''EMBELO;BOKOLI ECOLE MATERNELLE;NTAND'EMBELO;-2.1806993801146746;17.16537402011454;365.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;INONGO 3;INONGO;MBELO ;NEANT;TOMISA ECOLE MATERNELLE;BOKOLI;-2.120228768326342;16.990479324012995;346.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 2;MWEKA;MWEKA;LUMUMBA 2;MWEKA;ZIMBU  ECOLE MATERNELLE;00, AVENUE LUMUMBA;-4.8494626907631755;21.576467575505376;549.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;SYLVAIN MUNZOMBO ;DIBUMBA I;KUHUIMA  ECOLE PRIMAIRE;AV YONGO NÂ°82;-6.407314455136657;20.75824680738151;521.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;MBULA MPUTU;DIBUMBA I;MOYO MUPIAMUPIA  ECOLE PRIMAIRE;DES Ã‰COLES NÂ°59\76;-6.409897338598967;20.75794531032443;529.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;MBULA MPUTU ;DIBUMBA I;KATOKA  ECOLE PRIMAIRE;LUBUDI NÂ°29;-6.415872378274798;20.76103638857603;520.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;KABAMBAIE;KAMONIA;BABUA MFUNYA;LUKOMBO;EP KAMUKOLE ECOLE PRIMAIRE;VILLAGE MUENYA MPUTU;-5.804698993451893;20.834874333813787;581.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;KABAMBAIE;KAMONIA;BAKUA NDAYI;KAMONIA; DILUNDA ECOLE PRIMAIRE;LUKENGU ;-5.9323938097804785;20.75378746725619;627.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;NYANGA;KAMONIA;MISSION NYANGA;NYANGA;SOWELA ECOLE MATERNELLE;PARROISSE 27ÃˆME  CMCO;-5.960992234759033;20.433128038421273;594.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;NYANGA;KAMONIA;BAKWA KISAMBA ;NYANGA;VANESA ECOLE MATERNELLE;NYANGA ;-5.967201548628509;20.4274642188102;596.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;NYANGA;KAMONIA;BASHI BUKONDO ;NYANGA;PAROLE ETERNELLE  ECOLE MATERNELLE;LUANGE VIDEO ;-5.851523238234222;20.107121877372265;471.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;LUEBO 2;LUEBO;NDJOKO CITE ;NEANT;BENEDICTE ECOLE MATERNELLE;BULOBA BUKOLE;-5.486933835782111;20.997968902811408;500.0;32.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;TSHITANGUA;DIBUMBA II;NGALULA ECOLE MATERNELLE;AV, TSHIKAPA NÂ°45;-6.421874784864485;20.782501185312867;451.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;TSHIKAPA;DIBUMBA II;ETIENNE KWEMY ECOLE PRIMAIRE;AV. KUMBI NÂ°1;-6.418590629473329;20.779053876176476;485.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;KANANGAYI;KANZALA;KIBUALUE ECOLE PRIMAIRE;AV KAMUANGA NÂ°1;-6.446464732289314;20.793184842914343;521.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;LUEBO 3;LUEBO;BAKUA MUKUNA ;KABEMBA;KANEMU ECOLE PRIMAIRE;TSHISELE MUTUMBA;-5.8114051865413785;21.153828464448452;658.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;LUEBO 3;LUEBO;BAKUA KASUA;KABEMBA;TUDIKOLELA ECOLE PRIMAIRE;TSHITADI;-5.810186415910721;21.69583585113287;672.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;RVA;KANZALA;TSHIBOLA 1 & 2 ECOLE PRIMAIRE;19,AV MUSASA;-6.43539295066148;20.79493540339172;485.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KASAI;TSHIKAPA;KASAI 1;TSHIKAPA 2;TSHIKAPA VILLE;KAMALENGA ;KANZALA;TSHIKAPA ECOLE MATERNELLE;8,AV LEME;-6.45877992734313;20.789185585454106;537.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;VILLAGE MABALA ;NIOKI;EM NDENGO  ECOLE MATERNELLE;VILLAGE  MABALA ;-2.6982259936630726;17.730208346620202;296.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;NIOKI VILLE;KEMPEKA ;MONGA NKOLO;EM MOBOKOLI ECOLE MATERNELLE;TSHIKAPA 27;-2.7138279005885124;17.691285386681557;291.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAI-NDOMBE;INONGO;MAI-NDOMBE;KUTU 1;KUTU;MABALA;KUTU;ELIKYA  ECOLE MATERNELLE;MABALA;-2.7006634091958404;17.728369692340493;303.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
