ProvincePoliAdmin;Cheflieux;Proved;Sproved;Territoire;Groupement;Commune;Nom Ecole;Adresse;GPS_latitude;GPS_longitude;GPS_altitude;GPS_precision;Numero SECOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 1;BANDUNDU;BANDUNDU VILLE;IBOLE;DISASI;MAMAN MWILU ECOLE MATERNELLE;80, BABOMA;-3.333563986234367;17.373503046110272;313.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 1;BUDJALA;BAKONGO;BUDJALA;EM BOYOKANI 2 ECOLE MATERNELLE;AV SUNGU;2.647644644603133;19.703069049865007;358.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 3;BUDJALA;DONGO BOTO ;NEANT;REVEREND SENGEA ECOLE MATERNELLE;TERRAIN KIMBANGUISTE ;2.449544733390212;20.133570386096835;374.0;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;GBADOLITE;GDADOLITE VILLE;KAYA;GBADOLITE;"E
M 
MAMA 
MWILU ECOLE MATERNELLE";"MISSION 
KIMBANGUISTE";4.301443467848003;20.9985857270658;381.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORD-UBANGI;GBADOLITE;NORD UBANGI;GBADOLITE;GDADOLITE VILLE;PANGOMA;GBADOLITE;APELEZO ECOLE MATERNELLE;CELLULE  GBEMANI;4.281181055121124;20.988983502611518;387.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 1;BUDJALA;NGULUMA;BUDJALA;SENGE ECOLE MATERNELLE;NGULUMA;2.641258556395769;19.790551895275712;382.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 1;BUDJALA;KUTU CENTRE;BUDJALA;BOGBA ECOLE MATERNELLE;LIKUMBU;2.5390762416645885;19.41709963604808;376.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 4;BUDJALA;BOMBATI;BUDJALA;E.M BOYAKANI 2 ECOLE MATERNELLE;BOLUBWA;2.445849822834134;19.56474233418703;377.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;BUDJALA 4;BUDJALA;LIKAW;BUDJALA;E.M WELENGE ECOLE MATERNELLE;PAROISSE LIKAW CENTRE;2.4263567849993706;19.390303529798985;365.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;GEMENA 1;GEMENA VILLE;QUARTIER DU CONGO;LABO;KINDU ECOLE MATERNELLE;AVENUE DE LA VICTOIRE 2;3.242307691834867;19.759236853569746;396.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;GEMENA 1;GEMENA VILLE;LABO;LABO;MAMAN MPUTU ECOLE MATERNELLE;MISSION KIMBAGUISTE;3.243084652349353;19.768762718886137;413.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;GEMENA 1;GEMENA VILLE;DU CONGO ;LABO;MAMAN  MUILU 1 ECOLE MATERNELLE;CAMPS  MILITAIRES  LIBENGE MOKE;3.2417741417884827;19.76110702380538;412.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUD-UBANGI;GEMENA;SUD UBANGI 1;GEMENA 1;GEMENA VILLE;YOLA;LAC NTUMBA;MAMAN MUILU2 ECOLE MATERNELLE;YOLA ;3.2646324299275875;19.790472937747836;393.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;BANDA;IDIOFA;KI1SAMANDJOKO;NEANT;EMA TABITA ECOLE MATERNELLE;MUBWABWA;-5.286392443813384;19.795144591480494;689.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;BANDA;IDIOFA VILLE;GOMINENE;IDIOFA;MUSALAPA ECOLE MATERNELLE;LUVUZI 2;-5.508749708533287;19.550998862832785;724.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;BANDA;IDIOFA VILLE;KWITINDA;IDIOFA;EMA EKWO ECOLE MATERNELLE;MUBIKAY ;-5.3952308697625995;19.532162714749575;697.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;BANDA;IDIOFA VILLE;TSHIMANGUNGU ;IDIOFA;MUKWALA ECOLE MATERNELLE;INGYETSHI ;-5.456292573362589;19.38902889378369;734.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;MANGAI;DIBAYA LUBWE VILLE;MINKI;TSHENZA;MAMAN ECOLE MATERNELLE;KOREAMA;-4.942492386326194;19.59055515937507;673.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;IDIOFA CENTRE;IDIOFA;MWEMPATA;NEANT;KINVULA ECOLE MATERNELLE;MBANSAM;-4.556161877699196;19.72457223571837;547.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;KIBWANGA;KALO;BIBI /KIKALA ECOLE MATERNELLE;VILLAGE  KIKALA;-4.186473009176552;19.034227207303047;379.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;KIBWANGA;KALO;BIBI ECOLE MATERNELLE;VILLAGE KIKALA;-4.01960302144289;19.000123254954815;398.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;NKAMINAY;KALO;MUNENE ECOLE MATERNELLE;VILLAGE  KINKONO 2;-4.257913185283542;19.119412237778306;469.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;DUNGU;KALO;KIVUVU ECOLE MATERNELLE;01 , PAROISSE KIMBANGISTE;-4.11454014480114;19.247556030750275;431.0;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;WAMBA;NEANT;MAYEYE ECOLE MATERNELLE;IVANG C.K.E;-3.990565720014274;19.025291930884123;351.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWILU;KIKWIT;KWILU 3;KALO;IDIOFA;WAMBA ;NEANT;MBUKA ECOLE MATERNELLE;PANU  MUZULU ;-3.8574527157470584;19.11881770938635;211.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
