Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
PNLTHA2;Selby August 2016;8/27/16;8/28/16;OUT; ; ; ;trap removed;2,79609333290949;Lukula;250;430;350;80
PNLTHA2;Torr visit August 2016;8/19/16;8/21/16;OUT;0;0;0;;3,05258560613855;Lukula;324;430;351;79
PNLTHA3;Selby August 2016;8/21/16;8/25/16;OUT;0;0;0;no grease;3,21510603887804;Lukula;327;425;351;74
PNLTHA3;Selby August 2016;8/27/16;8/28/16;OUT;4;4;0;;2,98917982409653;Lukula;249;425;350;75
PNLTHA3;Richard's original pond village study;5/12/17;5/14/17;;0;2;0;trap near pigs;2,98917982409653;Lukula;249;425;350;75
PNLTHA3;Selby August 2016;8/25/16;8/27/16;OUT;3;3;0;;2,98917982409653;Lukula;249;425;350;75
PNLTHA3;Richard's original pond village study;3/6/17;3/8/17;;0;0;0;;2,98917982409653;Lukula;249;425;350;75
PNLTHA3;Torr visit August 2016;8/19/16;8/21/16;OUT;0;0;0;;3,21510603887804;Lukula;327;425;351;74
PNLTHA3;Richard's original pond village study;11/2/16;11/4/16;; ; ; ;Trap taken;2,98917982409653;Lukula;249;425;350;75
PNLTHA4;Selby August 2016;8/21/16;8/25/16;OUT;0;0;0;no grease;3,27563667210102;Lukula;335;418;351;67
PNLTHA4;Selby August 2016;8/25/16;8/27/16;OUT;3;0;0;;2,94404313430381;Lukula;250;418;350;68
PNLTHA4;Torr visit August 2016;8/19/16;8/21/16;OUT;0;0;0;While setting the trap, Selby was fed upon by a tsetse. Fly was dispatched, but not counted in the trap;3,27563667210102;Lukula;335;418;351;67
PNLTHA4;Selby August 2016;8/27/16;8/28/16;OUT;1;0;0;;2,94404313430381;Lukula;250;418;350;68
PNLTHA4;Richard's original pond village study;11/2/16;11/4/16;;0;0;0;;2,94404313430381;Lukula;250;418;350;68
PNLTHA4;Richard's original pond village study;3/6/17;3/8/17;;0;0;0;;2,94404313430381;Lukula;250;418;350;68
