Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
3065;;;-4,219315;17,944631;Swamp;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,8389279072735;Lukula;1498;345;357;-12
3066;;;-4,219546;17,944972;Riverine veg;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,8112905789208;Lukula;1515;344;357;-13
3067;;;-4,219543;17,945549;Riverine veg;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,808121930964;Lukula;1467;344;357;-13
3068;;;-4,219745;17,945957;Grass;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,7834260649025;Lukula;1451;344;357;-13
3069;;;-4,219882;17,946353;Grass;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,766043392596;Lukula;1469;344;357;-13
3070;;;-4,220242;17,947217;Rivering extend veg;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,7215943929929;Lukula;1419;344;357;-13
3071;;;-4,220396;17,948072;Forest;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,7002536747162;Lukula;1377;344;357;-13
3072;;;-4,220319;17,948971;Rivering extend veg;Surv Apr-Jun 2016;5/6/16;1;0;Surv Apr-Jun 2016;5/6/16;5/7/16;;0;0;0;;28,7045456608989;Lukula;1361;344;357;-13
3073;;;-4,489114;17,729208;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,6799662274463;Lukula;2298;378;362;16
3074;;;-4,489925;17,728679;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7081439540728;Lukula;2250;380;362;18
3075;;;-4,490405;17,72852;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7087801229189;Lukula;2233;379;362;17
3076;;;-4,491429;17,728674;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,658418084907;Lukula;2200;378;362;16
3077;;;-4,491213;17,727971;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7400097632477;Lukula;2202;382;362;20
3078;;;-4,491454;17,72818;Fishpond;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;19,7099300569378;Lukula;2196;380;362;18
