Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
BUM1;BUMBA KIKWETA;;-4,363617;17,845073;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,99841054224397;Lukula;1481;370;353;17
BUM2;BUMBA KIKWETA;;-4,36391;17,845916;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;7,90317401718174;Lukula;1474;372;355;17
BUM2;BUMBA KIKWETA;;-4,36391;17,845916;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,9096666408655;Lukula;1477;372;353;19
BUM3;BUMBA KIKWETA;;-4,364034;17,84681;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;7,80660009486674;Lukula;1442;372;355;17
BUM3;BUMBA KIKWETA;;-4,364034;17,84681;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,81306945071243;Lukula;1465;372;353;19
BUM4;BUMBA KIKWETA;;-4,36405;17,847797;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,70472444274035;Lukula;1438;374;353;21
BUM4;BUMBA KIKWETA;;-4,36405;17,847797;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;7,69826966057546;Lukula;1393;374;355;19
BUM5;BUMBA KIKWETA;;-4,354961;17,853839;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;6,95882792897765;Lukula;680;463;351;112
BUM5;BUMBA KIKWETA;;-4,354961;17,853839;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;6,94997376772639;Lukula;726;463;351;112
BUM6;BUMBA KIKWETA;;-4,354372;17,853203;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;7,0168020008057;Lukula;669;461;351;110
BUM6;BUMBA KIKWETA;;-4,354372;17,853203;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,02582701313171;Lukula;652;461;351;110
BUM7;BUMBA KIKWETA;;-4,353598;17,852766;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;7,06140944676152;Lukula;631;462;351;111
BUM7;BUMBA KIKWETA;;-4,353598;17,852766;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;7,07064874822748;Lukula;573;462;351;111
BUM8;BUMBA KIKWETA;;-4,353838;17,853837;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Case;0;0;0;;6,95287896155765;Lukula;589;461;351;110
BUM8;BUMBA KIKWETA;;-4,353838;17,853837;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;2;0;PAUL AND RICHARDS' VILLAGES;5/15/17;5/17/17;Case;0;0;0;;6,94371631017855;Lukula;622;461;351;110
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T5;11/2/16;11/4/16;OUT;0;0;0;;4,53273311428323;Lukula;204;341;345;-4
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,93851658250004;Lukula;203;341;346;-5
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T4;7/30/16;8/1/16;OUT;0;0;0;;30,3893505753544;Lukula;1374;341;357;-16
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T3;5/4/16;5/6/16;OUT;0;0;0;;30,3893505753544;Lukula;1374;341;357;-16
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T1;12/1/15;12/3/15;OUT;0;3;0;;30,9245707355596;Lukula;1448;341;357;-16
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T7;5/12/17;5/14/17;OUT;0;0;0;;3,93851658250004;Lukula;203;341;346;-5
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T2;2/6/16;2/8/16;OUT;1;0;0;;30,9245707355596;Lukula;1448;341;357;-16
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T6;2/10/17;2/12/17;OUT;1;1;0;;4,53273311428323;Lukula;204;341;345;-4
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T8;7/20/17;7/22/17;OUT;0;0;0;;1,06260493221905;Inzia;37;341;342;-1
BUS01;Buseke;;-4,205612;17,939337;;T0;7/11/15;10;9;T0;7/11/15;7/13/15;OUT;1;2;0;; ; ; ;341; ; 
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T0;7/11/15;7/13/15;OUT;0;1;0;; ; ; ;341; ; 
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T1;12/1/15;12/3/15;OUT;0;0;0;;30,8696348947222;Lukula;1462;341;357;-16
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T6;2/10/17;2/12/17;OUT;0;0;0;;4,48023055369738;Lukula;206;341;345;-4
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,88807125447761;Lukula;213;341;346;-5
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T8;7/20/17;7/22/17;OUT;3;0;0;;1,04052159114926;Inzia;51;341;342;-1
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T7;5/12/17;5/14/17;OUT;0;0;0;;3,88807125447761;Lukula;213;341;346;-5
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T4;7/30/16;8/1/16;OUT;1;2;0;;30,3346877068259;Lukula;1322;341;357;-16
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T5;11/2/16;11/4/16;OUT;0;1;0;;4,48023055369738;Lukula;206;341;345;-4
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T2;2/6/16;2/8/16;OUT;0;0;0;;30,8696348947222;Lukula;1462;341;357;-16
BUS02;Buseke;;-4,206083;17,939673;;T0;7/11/15;10;8;T3;5/4/16;5/6/16;OUT;0;0;0;;30,3346877068259;Lukula;1322;341;357;-16
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T3;5/4/16;5/6/16;OUT;0;0;0;;30,2738741149125;Lukula;1316;341;357;-16
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T1;12/1/15;12/3/15;OUT;0;0;0;;30,8086390138008;Lukula;1444;341;357;-16
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T5;11/2/16;11/4/16;OUT;0;0;0;;4,42106717497194;Lukula;174;341;345;-4
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T8;7/20/17;7/22/17;OUT;0;0;0;;1,00985031948171;Inzia;37;341;342;-1
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T2;2/6/16;2/8/16;OUT;0;0;0;;30,8086390138008;Lukula;1444;341;357;-16
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T7;5/12/17;5/14/17;OUT;0;0;0;;3,83047274970499;Lukula;221;341;346;-5
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T6;2/10/17;2/12/17;OUT;0;0;0;;4,42106717497194;Lukula;174;341;345;-4
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,83047274970499;Lukula;221;341;346;-5
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T0;7/11/15;7/13/15;OUT;0;0;0;; ; ; ;341; ; 
BUS03;Buseke;;-4,206617;17,939913;;T0;7/11/15;10;1;T4;7/30/16;8/1/16;OUT;0;1;0;;30,2738741149125;Lukula;1316;341;357;-16
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T4;7/30/16;8/1/16;OUT;0;0;0;;30,1805503040614;Lukula;1348;341;357;-16
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T6;2/10/17;2/12/17;OUT;0;0;0;;4,33310521732502;Lukula;166;341;345;-4
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T0;7/11/15;7/13/15;OUT;0;1;0;; ; ; ;341; ; 
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,74692148349979;Lukula;225;341;346;-5
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T7;5/12/17;5/14/17;OUT;0;0;0;;3,74692148349979;Lukula;225;341;346;-5
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T5;11/2/16;11/4/16;OUT;0;0;0;;4,33310521732502;Lukula;166;341;345;-4
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T3;5/4/16;5/6/16;OUT;0;0;0;;30,1805503040614;Lukula;1348;341;357;-16
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T2;2/6/16;2/8/16;OUT;0;0;0;;30,7147734124601;Lukula;1428;341;357;-16
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T1;12/1/15;12/3/15;OUT;0;2;0;;30,7147734124601;Lukula;1428;341;357;-16
BUS04;Buseke;;-4,207417;17,940562;;T0;7/11/15;10;4;T8;7/20/17;7/22/17;OUT;1;0;0;;0,991914213159972;Lukula;37;341;344;-3
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T7;5/12/17;5/14/17;OUT;0;0;0;;3,71500298298768;Lukula;201;341;346;-5
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T1;12/1/15;12/3/15;OUT;0;0;0;;30,6788414443922;Lukula;1482;341;357;-16
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T4;7/30/16;8/1/16;OUT;0;0;0;;30,1448100833859;Lukula;1354;341;357;-16
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T6;2/10/17;2/12/17;OUT;0;0;0;;4,29951965677876;Lukula;156;341;345;-4
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,71500298298768;Lukula;201;341;346;-5
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T8;7/20/17;7/22/17;OUT;0;0;0;;0,953076484338629;Lukula;37;341;344;-3
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T0;7/11/15;7/13/15;OUT;0;2;0;; ; ; ;341; ; 
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T2;2/6/16;2/8/16;OUT;0;0;0;;30,6788414443922;Lukula;1482;341;357;-16
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T5;11/2/16;11/4/16;OUT;0;0;0;;4,29951965677876;Lukula;156;341;345;-4
BUS05;Buseke;;-4,207725;17,940792;;T0;7/11/15;10;2;T3;5/4/16;5/6/16;OUT;0;0;0;;30,1448100833859;Lukula;1354;341;357;-16
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T1;12/1/15;12/3/15;OUT;0;0;0;;30,6461396947732;Lukula;1518;341;357;-16
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T2;2/6/16;2/8/16;OUT;0;0;0;;30,6461396947732;Lukula;1518;341;357;-16
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T0;7/11/15;7/13/15;OUT;0;0;0;; ; ; ;341; ; 
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,68941845310729;Lukula;211;341;346;-5
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T4;7/30/16;8/1/16;OUT;0;0;0;;30,1124475053167;Lukula;1374;341;357;-16
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T5;11/2/16;11/4/16;OUT;1;0;0;;4,27113345305002;Lukula;158;341;345;-4
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T8;7/20/17;7/22/17;OUT;0;0;0;;0,915889963632058;Lukula;25;341;344;-3
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T6;2/10/17;2/12/17;OUT;0;0;0;;4,27113345305002;Lukula;158;341;345;-4
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T7;5/12/17;5/14/17;OUT;0;0;0;;3,68941845310729;Lukula;211;341;346;-5
BUS06;Buseke;;-4,207992;17,941177;;T0;7/11/15;10;1;T3;5/4/16;5/6/16;OUT;0;0;0;;30,1124475053167;Lukula;1374;341;357;-16
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,6827158503349;Lukula;199;341;346;-5
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T5;11/2/16;11/4/16;OUT;0;0;0;;4,2637348191629;Lukula;156;341;345;-4
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T6;2/10/17;2/12/17;OUT;0;0;0;;4,2637348191629;Lukula;156;341;345;-4
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T3;5/4/16;5/6/16;OUT;0;1;0;;30,104031025498;Lukula;1374;341;357;-16
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T0;7/11/15;7/13/15;OUT;0;0;0;; ; ; ;341; ; 
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T2;2/6/16;2/8/16;OUT;1;0;0;;30,6376413978648;Lukula;1496;341;357;-16
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T8;7/20/17;7/22/17;OUT;0;0;0;;0,906524321148214;Lukula;25;341;344;-3
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T1;12/1/15;12/3/15;OUT;2;2;0;;30,6376413978648;Lukula;1496;341;357;-16
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T7;5/12/17;5/14/17;OUT;0;0;0;;3,6827158503349;Lukula;199;341;346;-5
BUS07;Buseke;;-4,208062;17,94127;;T0;7/11/15;10;6;T4;7/30/16;8/1/16;OUT;0;0;0;;30,104031025498;Lukula;1374;341;357;-16
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T5;11/2/16;11/4/16;OUT;0;0;0;;4,35703306186204;Lukula;160;341;345;-4
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T7 to repeat;5/4/17;5/6/17;OUT;0;0;0;Unable to collect trap on 06/05/17 as road blocked;3,76942285830342;Lukula;195;341;346;-5
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T6;2/10/17;2/12/17;OUT;0;0;0;;4,35703306186204;Lukula;160;341;345;-4
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T2;2/6/16;2/8/16;OUT;0;0;0;;30,7406933674193;Lukula;1466;341;357;-16
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T4;7/30/16;8/1/16;OUT;0;0;0;;30,2062961979662;Lukula;1300;341;357;-16
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T7;5/12/17;5/14/17;OUT; ; ; ;Trap was down on collection;3,76942285830342;Lukula;195;341;346;-5
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T3;5/4/16;5/6/16;OUT;0;0;0;;30,2062961979662;Lukula;1300;341;357;-16
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T8;7/20/17;7/22/17;OUT;0;0;0;;0,994152530370271;Inzia;29;341;342;-1
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T1;12/1/15;12/3/15;OUT;0;0;0;;30,7406933674193;Lukula;1466;341;357;-16
BUS08;Buseke;;-4,207198;17,940357;;T0;7/11/15;10;0;T0;7/11/15;7/13/15;OUT;0;0;0;; ; ; ;341; ; 
C1;PONT KAFI;C;-4,553067;17,975483;FOREST;IRD/JUNE 2016;6/5/16;1;4;IRD/JUNE 2016;6/5/16;6/7/16;IN;4;0;0;;0,26992619885251;Kafi;0;365;365;0
C101;Pont Kafi;;-4,553002;17,975577;Forest;Ricaki Jul 2016;7/29/16;2;1;Torr visit August 2016;8/18/16;8/20/16;IN;0;0;0;;0,257673826312858;Kafi;0;365;365;0
C101;Pont Kafi;;-4,553002;17,975577;Forest;Ricaki Jul 2016;7/29/16;2;1;Ricaki Jul 2016;7/29/16;7/31/16;IN;0;1;0;;0,257673826312858;Kafi;0;365;365;0
C102;Pont Kafi;;-4,552042;17,977322;Forest;Ricaki Jul 2016;7/29/16;2;0;Torr visit August 2016;8/18/16;8/20/16;IN;0;0;0;;0,0698866081296901;Kafi;0;365;365;0
C102;Pont Kafi;;-4,552042;17,977322;Forest;Ricaki Jul 2016;7/29/16;2;0;Ricaki Jul 2016;7/29/16;7/31/16;IN;0;0;0;;0,0698866081296901;Kafi;0;365;365;0
C103;Pont Kafi;;-4,5527;17,979459;Edge Village/Forest;Ricaki Jul 2016;7/29/16;2;0;Torr visit August 2016;8/18/16;8/20/16;IN;0;0;0;;0,17509309688184;Kafi;22;365;365;0
C103;Pont Kafi;;-4,5527;17,979459;Edge Village/Forest;Ricaki Jul 2016;7/29/16;2;0;Ricaki Jul 2016;7/29/16;7/31/16;IN;0;0;0;;0,17509309688184;Kafi;22;365;365;0
C104;Pont Kafi;;-4,559771;17,980472;Road;Ricaki Jul 2016;7/29/16;2;0;Torr visit August 2016;8/18/16;8/20/16;IN;0;0;0;;0,560064610875935;Kafi;2;365;365;0
C104;Pont Kafi;;-4,559771;17,980472;Road;Ricaki Jul 2016;7/29/16;2;0;Ricaki Jul 2016;7/29/16;7/31/16;IN;0;0;0;;0,561601237487389;Kafi;2;365;365;0
C105;Pont Kafi;;-4,553253;17,975082;Source;Ricaki Jul 2016;7/29/16;2;0;Torr visit August 2016;8/18/16;8/20/16;IN;0;0;0;;0,287432329128241;Kafi;15;369;366;3
C105;Pont Kafi;;-4,553253;17,975082;Source;Ricaki Jul 2016;7/29/16;2;0;Ricaki Jul 2016;7/29/16;7/31/16;IN;0;0;0;;0,287432329128241;Kafi;15;369;366;3
C2;PONT KAFI;C;-4,552033;17,977333;VILLAGE;IRD/JUNE 2016;6/5/16;1;2;IRD/JUNE 2016;6/5/16;6/7/16;IN;1;1;0;;0,0689022006316154;Kafi;0;365;365;0
C3;PONT KAFI;C;-4,552767;17,979483;VILLAGE;IRD/JUNE 2016;6/5/16;1;2;IRD/JUNE 2016;6/5/16;6/7/16;IN;0;2;0;;0,182960855391348;Kafi;22;365;365;0
C4;PONT KAFI;C;-4,55975;17,980467;VILLAGE;IRD/JUNE 2016;6/5/16;1;0;IRD/JUNE 2016;6/5/16;6/7/16;IN;0;0;0;;0,560780962777585;Kafi;2;365;365;0
C5;PONT KAFI;C;-4,551117;17,977983;FISH PONDS;IRD/JUNE 2016;6/8/16;1;2;IRD/JUNE 2016;6/8/16;6/10/16;IN;0;2;0;;0,0173397225172344;Kafi;0;365;365;0
CEM1;CAMP ETET MOKAMO;;-4,318785;17,950954;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;3;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;0;1;0;;1,69131472717733;Lukula;95;353;350;3
CEM1;CAMP ETET MOKAMO;;-4,318785;17,950954;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;3;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,69131472717733;Lukula;95;353;350;3
CEM1;CAMP ETET MOKAMO;;-4,318785;17,950954;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;3;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;1;1;0;;1,69131472717733;Lukula;95;353;350;3
CEM2;CAMP ETET MOKAMO;;-4,319139;17,95176;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;10;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,77473797239812;Lukula;67;351;350;1
CEM2;CAMP ETET MOKAMO;;-4,319139;17,95176;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;10;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;1;6;0;;1,77473797239812;Lukula;67;351;350;1
CEM2;CAMP ETET MOKAMO;;-4,319139;17,95176;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;10;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;1;2;0;;1,77473797239812;Lukula;67;351;350;1
CEM3;CAMP ETET MOKAMO;;-4,319947;17,95163;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;5;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;1;0;0;;1,83979567245885;Lukula;103;351;350;1
CEM3;CAMP ETET MOKAMO;;-4,319947;17,95163;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;5;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;0;1;0;;1,83979567245885;Lukula;103;351;350;1
CEM3;CAMP ETET MOKAMO;;-4,319947;17,95163;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;5;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;1;2;0;;1,83979567245885;Lukula;103;351;350;1
CEM4;CAMP ETET MOKAMO;;-4,320055;17,950796;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;2;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;2;0;0;;1,76345137595942;Lukula;88;356;350;6
CEM4;CAMP ETET MOKAMO;;-4,320055;17,950796;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;2;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,76345137595942;Lukula;88;356;350;6
CEM4;CAMP ETET MOKAMO;;-4,320055;17,950796;Pond;PAUL AND RICHARDS' VILLAGES;10/29/16;3;2;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;0;0;0;;1,76345137595942;Lukula;88;356;350;6
CEM5;CAMP ETET MOKAMO;;-4,319724;17,949495;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;0;0;0;fallen;1,6148720028324;Lukula;57;381;350;31
CEM5;CAMP ETET MOKAMO;;-4,319724;17,949495;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,6148720028324;Lukula;57;381;350;31
CEM5;CAMP ETET MOKAMO;;-4,319724;17,949495;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;1;0;0;trap on path to pond;1,6148720028324;Lukula;57;381;350;31
CEM6;CAMP ETET MOKAMO;;-4,320182;17,948576;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;0;0;0;;1,52446227172894;Lukula;51;385;350;35
CEM6;CAMP ETET MOKAMO;;-4,320182;17,948576;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,52446227172894;Lukula;51;385;350;35
CEM6;CAMP ETET MOKAMO;;-4,320182;17,948576;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;1;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;1;0;0;;1,52446227172894;Lukula;51;385;350;35
CEM7;CAMP ETET MOKAMO;;-4,320561;17,947541;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;0;0;0;;1,42268863495868;Lukula;58;388;350;38
CEM7;CAMP ETET MOKAMO;;-4,320561;17,947541;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;0;0;0;;1,42268863495868;Lukula;58;388;350;38
CEM7;CAMP ETET MOKAMO;;-4,320561;17,947541;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,42268863495868;Lukula;58;388;350;38
CEM8;CAMP ETET MOKAMO;;-4,320496;17,946363;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;5/14/17;5/17/17;Control;0;0;0;;1,29381033399617;Lukula;110;383;350;33
CEM8;CAMP ETET MOKAMO;;-4,320496;17,946363;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;10/29/16;11/2/16;Control;0;0;0;;1,29381033399617;Lukula;110;383;350;33
CEM8;CAMP ETET MOKAMO;;-4,320496;17,946363;Village;PAUL AND RICHARDS' VILLAGES;10/29/16;3;0;PAUL AND RICHARDS' VILLAGES;3/6/17;3/8/17;Control;0;0;0;;1,29381033399617;Lukula;110;383;350;33
CUD01;Camp Usine Dunda;;-4,548288;17,680471;River;FebMar 2017;3/6/17;1;0;FebMar 2017;3/6/17;3/8/17;OUT;0;0;0;;23,0293804008419;Lukula;2707;362;367;-5
CUD02;Camp Usine Dunda;;-4,547407;17,680968;River;FebMar 2017;3/6/17;1;0;FebMar 2017;3/6/17;3/8/17;OUT;0;0;0;;22,9980193258529;Lukula;2651;362;367;-5
CUD03;Camp Usine Dunda;;-4,547255;17,680092;River;FebMar 2017;3/6/17;1;0;FebMar 2017;3/6/17;3/8/17;OUT;0;0;0;;23,0964818204795;Lukula;2659;362;367;-5
CUD04;Camp Usine Dunda;;-4,546203;17,680873;River;FebMar 2017;3/6/17;1;0;FebMar 2017;3/6/17;3/8/17;OUT;0;0;0;;23,0394371639379;Lukula;2615;362;367;-5
